no.,nama produk,merk,terjual,reviews,bintang,marketplace,link,harga,deskripsi produk
1,facial wash brightening energizing,kahf,"10,000++","28,400",4.8,shopee,https://s.shopee.co.id/4ArMhzDhI0,"Rp38,000",sabun pembersih wajah dengan kombinasi HydroBalanceTM dan Pure Cleanse yang dapat menjadikan kulit wajah bersih dan lembap secara menyeluruh hingga ke pori-pori. Diperkaya dengan ekstrak Moroccan Mint dan Mediterranean Grapefruit menjadikan kulit terasa lebih segar dan tampak lebih cerah dengan formula yang ringan sehingga cocok untuk semua jenis kulit.
2,Sunscreen moisturizer,kahf,"6,000++","2,200",4.9,shopee,https://s.shopee.co.id/5L3K6EBiGg,"Rp37,580","Kahf Triple+ Protection Sunscreen Moisturizer SPF30 PA+++ adalah pelembap harian dengan perlindungan ganda dari sinar UVA, UVB, dan polusi."
3,facial wash oil and acne care,kahf,"2,000++",761,4.8,shopee,https://s.shopee.co.id/9Ust3xOcYU,"Rp28,971",sabun pembersih wajah dengan kandungan HydroBalance dan Pure Cleanse menjadikan wajah bersih dan lembap secara menyeluruh. Diperkaya dengan ekstrak Mediterranean Sage dan French Cypressnya yang dapat membantu melawan jerawat. Cocok digunakan untuk jenis kulit wajah berminyak dan berjerawat.
4,antiperspirant deodorant,kahf,"2,000++",729,4.9,shopee,https://s.shopee.co.id/5L3K6LvQ5Q,"Rp30,008",deodoran bebas iritasi dengan SmartSync Deo Care Technology dan berikan aroma signature Kahf untuk kesegaran sepanjang hari.
5,facial foam deep acne oil clear face scrub,nivea men,"10,000++","12,200",4.8,shopee,https://s.shopee.co.id/qaukFpkiN,"Rp41,600",sabun cuci muka pria scrub wajah membersihkan bakteri penyebab jerawat komedo mengontrol kulit berminyak mengecilkan pori dan mengangkat sel kulit mati
6,dark spot minimizer facial foam + deodorant deep roll,nivea men,"10,000++","10,100",4.8,shopee,https://s.shopee.co.id/4VUD77Lm9a,"Rp36,400",NIVEA MEN Travel Pack dapat 2- Dark Spot Minimizer Facial Foam 50mL + Deodorant Deep Roll-On 25mL
7,extra bright facial foam,nivea men,"10,000++","48,800",4.9,shopee,https://s.shopee.co.id/8ANVTvwrO0,"Rp33,000",Sabun cuci muka pria mencerahkan bintik hitam brightening kulit kusam
8,deodorant roll on derma control defend,nivea men,"3,000++",928,4.9,shopee,https://s.shopee.co.id/AA8ZsE0E3n,"Rp22,400",Deodoran pria skin barrier kulit ketiak sensitif melindungi anti keringat
9,facial foam bright oil clear anti shine,nivea men,"10,000++","9,700",4.9,shopee,https://s.shopee.co.id/2Vj8kERGQR,"Rp42,400",Sabun cuci muka pria mencerahkan minyak berlebih berminyak
10,deodoran spray cool kick,nivea men,"10,000++","6,000",4.9,shopee,https://s.shopee.co.id/2LPiY5WJXe,"Rp57,600",Deodoran semprot pria perlindungan ekstra kering dari keringat bau badan dengan sensasi dingin dan wangi sporty maskulin seharian
11,deodorant spray deep darkwood,nivea men,"10,000++","6,300",4.9,shopee,https://s.shopee.co.id/2B6ILtLwMY,"Rp57,600",Deodoran semprot pria melawan bakteri keringat bau badan dengan wangi parfum premium maskulin blackwood menjaga ketiak kering tahan lama seharian
